33150,35500,684245,2400,33350,32500,34290,4.476,1.5,1557.67,11.963,11.05,-11,4040,1973.55,12578.6,4295.2,8106.29,1342,44.9,1.9,2,0,1.4805,42.59,888.2,437.88,1558.34,84.76,1.9,1028.1,42.1,8,1607,1.5,2400,4.6,1350,4.09,363.98,1166.56,1964.38,-20.7,35500
34600,36000,700381,1513,35500,35500,34270,4.576,3.3,1529.64,12.145,8.16,-3,1612,1970.3,13154.43,4190.11,8251.24,832,45.4,1.5,0,4.6,1.45,42.95,905.1,442.56,1507.84,85.42,2.1,1030,37,3.3,1829,0,1607,4.6,808,3.98,364.9,1162.11,1952.48,-10.6,35700
34700,35650,329893,1500,34750,35700,34480,4.417,5.8,1520.98,12.565,10.27,-1.2,1264,1953.94,13278.21,4149.64,7994.05,920,45.88,3.2,0,2.9,1.462,43.9,927.3,451.86,1476.42,86.34,1.5,1026.6,46.6,3.1,1503,0,1550,4.6,1543,3.95,365.77,1146.95,1921.46,-10.7,35400
33550,34800,782956,1501,34600,35400,34580,4.557,5.2,1540.65,12.415,2.52,0.7,2776,1999.92,12861.49,4077.78,7873.98,1826,43.82,2.2,0,7.8,1.4235,44.8,906.7,433.96,1494.43,86.63,2.2,1022.1,72.1,5.5,355,0,1514,4.3,1816,3.94,372.28,1163.2,1953.2,-5,33800
33200,34300,830479,1936,33800,33800,34850,4.513,5.7,1556.46,12.3,10.1,2.1,1917,1980.26,12776.89,4164.46,7825.51,1538,44.08,1.9,0,4.5,1.515,42.74,892,422.34,1516.3,85.72,0.9,1028.2,67.5,4.4,1024,5.9,1442,4.2,1223,3.91,378.88,1195.37,2077.85,0.5,33850
34350,36750,1599887,1524,34550,33850,35050,4.597,4.4,1555.37,12.47,9.66,2.9,1625,2006.77,13063.89,4228.6,8038.94,1039,44.15,2.1,0,3.8,1.524,42.86,901.6,419.86,1515.05,85.93,2.2,1024,65.5,4.4,1451,2.6,1546,4.1,1706,3.87,373.49,1177.88,2055.92,-0.5,36500
35000,37150,1004474,1447,36100,36500,34960,4.642,4.4,1540.24,12.75,1.64,1.5,1780,1988.06,13178.9,4228.93,7949.65,1454,44.99,2,0,8.3,1.494,43.42,913.6,420.32,1546.24,86.16,2.1,1024.1,71.3,4.1,1426,2.6,1436,4.6,1907,3.84,378.79,1210.26,2069.37,-1.6,35250
35250,37400,1046866,446,35900,35250,35340,4.774,3.2,1514.21,13.16,5.52,3.2,1687,2023.51,13655.04,4291.87,8076.62,2004,46.21,1.7,0.2,2.9,1.6225,45.45,913.9,418.99,1591.71,85.96,0.6,1025.2,70.1,3,435,5.8,1612,4.1,226,3.82,376.83,1202.69,2046.88,-0.4,37300
37100,38500,684159,1807,37800,37300,36030,4.807,5,1493.66,12.83,9.58,0.6,1473,2050.1,13769.06,4307.61,7969.03,1414,47.06,2.6,0,8,1.6065,45.12,892.4,432.49,1591.56,85.02,1,1027.2,47.9,3.8,1418,1.9,1418,4.1,1828,3.8,380.26,1198.87,2058.39,-1.8,37250
36700,38200,517130,1646,37550,37250,36720,4.543,4.5,1505.94,13.13,3.51,2.6,2247,2049.85,13880.64,4213.08,7945.94,1411,44.61,2.8,0,8,1.57,45.56,913.7,427.82,1524.73,85.76,2.4,1022.2,69.1,6.1,1149,5.3,1457,4.2,1415,3.76,383.41,1190.18,2062,-5.8,37300
