132500,138000,1872.93,132000,135000,1529.64,4068,7.19,1970.3,9.2,2.45,2.96,42.95,1607,4.576,8251.24,-0.8,85.42,905.1,442.56,1990.66,8149.01,1341.5,13154.43,1.7,-10.6,808,5.5,108.09,12.145,212.33,41.44,45.4,202.22,361.68,832,1.4283,33300357,4.57,1157.98,133500,134500
133100,135000,1886.93,132500,133500,1520.98,9270,7.29,1953.94,5.5,2.41,2.96,43.9,1550,4.417,7994.05,-0.6,86.34,927.3,451.86,1990.66,8000.86,1346.5,13278.21,2,-10.7,1543,4.1,108.09,12.565,208.26,41.68,45.88,200.08,363.98,920,1.434,33300357,4.71,1166.56,134500,133000
134000,135000,1872.43,132500,134500,1540.65,11540,7.49,1999.92,8.7,2.38,2.96,44.8,1532,4.557,7873.98,-0.4,86.63,906.7,433.96,2011.68,7936.83,1355.5,12861.49,1.5,-4,957,6.4,104.41,12.415,210.52,40.08,43.82,202.27,364.9,954,1.3424,34066903,5.05,1162.11,133000,134000
133500,135500,1850.71,129500,131000,1556.46,6255,7.57,1980.26,0,2.38,2.96,42.74,1442,4.513,7825.51,-0.3,85.72,892,422.34,2060.81,8078.36,1373.5,12776.89,1.7,0.5,1223,7,104.41,12.3,210.83,40.78,44.08,203.3,365.77,1538,1.3254,34066903,5.2,1146.95,134000,132500
133300,134500,1846.2,131000,132000,1555.37,6994,7.45,2006.77,6.8,2.38,2.96,42.86,1546,4.597,8038.94,-0.3,85.93,901.6,419.86,2107.75,7956.66,1418,13063.89,1.2,-0.5,1706,7.1,104.41,12.47,212.75,40.32,44.15,203.27,372.28,1039,1.327,34066903,5.2,1163.2,132500,132500
132500,134500,1878.6,129500,132000,1540.24,9734,7.48,1988.06,6.6,2.39,2.92,43.42,1436,4.642,7949.65,-0.3,86.16,913.6,420.32,2098.02,8063.07,1447,13178.9,2,-1.6,1907,6.1,104.41,12.75,221.31,41.17,44.99,201.38,378.88,1454,1.3672,34066903,5.31,1195.37,132500,130500
132300,133500,1855.46,130500,131500,1514.21,2034,7.37,2023.51,0,2.39,2.92,45.45,1612,4.774,8076.62,0.3,85.96,913.9,418.99,2181.24,8280.59,1452,13655.04,1.5,-0.4,226,4.8,104.41,13.16,229.18,40.17,46.21,202.27,373.49,2004,1.3598,34066903,5.27,1177.88,130500,132000
131800,133500,1869.28,130000,130500,1493.66,2765,7.29,2050.1,9,2.2,2.92,45.12,1552,4.807,7969.03,1.8,85.02,892.4,432.49,2224.71,8270.87,1456,13769.06,2.4,-6,1704,7.8,104.41,12.83,227.81,39.56,47.06,201.79,378.79,1435,1.3523,34066903,5.29,1210.26,132000,131500
130600,134000,1856.71,130000,132000,1505.94,3530,7.17,2049.85,5.3,2.07,2.92,45.56,1457,4.543,7945.94,2.5,85.76,913.7,427.82,2265.16,7888.88,1426.5,13880.64,2.6,-5.8,1415,9.3,104.41,13.13,217.33,37.55,44.61,201.21,376.83,1411,1.3014,34066903,5.31,1202.69,131500,126500
129100,133500,1861.64,126500,131500,1532.77,9727,7.07,2016.91,0.2,2.06,2.92,44.6,1644,4.532,7945.94,3.1,86.17,943.8,413.39,2260.82,7939.53,1401,13539.21,3.3,-0.8,1703,8.5,104.41,13.52,215.11,35.94,44.91,203.23,380.26,1647,1.3164,34066903,5.27,1198.87,126500,125000
